policy,n,pdr_mean,pdr_ci_lo,pdr_ci_hi,tput_kbps_mean,tput_kbps_ci_lo,tput_kbps_ci_hi,avg_delay_ms_mean,avg_delay_ms_ci_lo,avg_delay_ms_ci_hi,p95_delay_ms_mean,p95_delay_ms_ci_lo,p95_delay_ms_ci_hi,drop_rate_mean,drop_rate_ci_lo,drop_rate_ci_hi,fairness_mean,fairness_ci_lo,fairness_ci_hi,col_rate_mean,col_rate_ci_lo,col_rate_ci_hi,retry_rate_mean,retry_rate_ci_lo,retry_rate_ci_hi,raw_fit_pass_mean,raw_fit_pass_ci_lo,raw_fit_pass_ci_hi,e_total_mj_mean,e_total_mj_ci_lo,e_total_mj_ci_hi,e_sleep_mj_mean,e_sleep_mj_ci_lo,e_sleep_mj_ci_hi,e_idle_mj_mean,e_idle_mj_ci_lo,e_idle_mj_ci_hi,ee_kbit_j_mean,ee_kbit_j_ci_lo,ee_kbit_j_ci_hi,e_per_pkt_uj_mean,e_per_pkt_uj_ci_lo,e_per_pkt_uj_ci_hi
static,800,0.189427,0.187775,0.191079,31.035733,30.765074,31.306393,3727.457755,3548.289442,3906.626069,8983.644014,8900.299843,9066.988185,0.810573,0.808921,0.812225,0.713301,0.697198,0.729405,0.466193,0.463615,0.46877,0.465724,0.463448,0.468,1.0,1.0,1.0,546.878105,542.44869,551.30752,49.773991,49.660963,49.88702,373.802165,369.283686,378.320643,8.512624,8.458552,8.566695,120292.462495,119529.145808,121055.779182
laca,800,0.149705,0.146599,0.152811,24.527644,24.018705,25.036584,5911.751184,5691.651771,6131.850597,16410.37965,14501.203436,18319.555864,0.850295,0.847189,0.853401,0.614543,0.609681,0.619404,0.512438,0.504874,0.520002,0.512166,0.505003,0.51933,1.0,1.0,1.0,551.950619,547.989487,555.911752,49.589342,49.486403,49.69228,381.476961,377.354324,385.599597,6.665649,6.574117,6.75718,153626.573721,151523.681895,155729.465547
tabular,800,0.251146,0.225007,0.277285,41.147733,36.865134,45.430332,6667.587649,6237.603138,7097.572159,18739.261799,14991.362031,22487.161566,0.748854,0.722715,0.774993,0.786369,0.738172,0.834566,0.332721,0.236007,0.429434,0.332721,0.236007,0.429434,1.0,1.0,1.0,484.54702,454.823385,514.270655,51.332044,50.599366,52.064723,311.653684,282.466177,340.84119,12.750883,10.694007,14.807759,80529.108509,67843.837618,93214.379401
tab_ddqn,800,0.234931,0.191387,0.278474,38.491022,31.356884,45.62516,6918.301775,5815.669003,8020.934546,19107.164154,16317.734938,21896.59337,0.765069,0.721526,0.808613,0.765052,0.674548,0.855556,0.345947,0.265503,0.426391,0.345947,0.265503,0.426391,1.0,1.0,1.0,488.571311,467.068148,510.074475,51.211514,50.671566,51.751461,316.566875,295.004814,338.128936,11.829101,9.168523,14.489679,87051.578204,67048.301006,107054.855403
dqn,800,0.221458,0.144304,0.298612,36.283733,23.642817,48.924649,9299.89658,5380.550298,13219.242863,28244.946625,11166.923722,45322.969529,0.778542,0.701388,0.855696,0.802736,0.778484,0.826987,0.254284,0.242062,0.266505,0.254284,0.242062,0.266505,1.0,1.0,1.0,449.013945,433.427961,464.599928,52.148136,51.846265,52.450006,279.483416,267.890531,291.076302,12.108043,8.23717,15.978915,85587.357283,56170.584685,115004.129881
ddqn,800,0.224514,0.152843,0.296185,36.784356,25.041828,48.526883,6213.934902,4358.98082,8068.888983,18255.5664,11162.045793,25349.087007,0.775486,0.703815,0.847157,0.780105,0.661659,0.89855,0.357531,0.09887,0.616193,0.357389,0.099248,0.61553,1.0,1.0,1.0,492.90672,456.21883,529.59461,51.099628,50.249123,51.950134,321.04951,287.433994,354.665027,11.229336,6.818696,15.639976,92743.893534,55958.508311,129529.278757
ppo,800,0.280608,0.268654,0.292561,45.974756,44.016298,47.933213,6985.903566,5912.09351,8059.713622,21894.814372,21023.596304,22766.03244,0.719392,0.707439,0.731346,0.814924,0.799613,0.830235,0.227016,0.196615,0.257417,0.227016,0.196615,0.257417,1.0,1.0,1.0,461.024728,454.909896,467.13956,51.903309,51.731487,52.075131,288.943534,281.997445,295.889623,14.958852,14.266237,15.651466,68470.413919,65278.614237,71662.213602
no_raw,1000,0.049181,0.048377,0.049985,10.072178,9.90751,10.236845,2883.048627,2790.202089,2975.895165,5021.286475,5014.920348,5027.652601,0.950819,0.950015,0.951623,0.799255,0.767919,0.830591,0.739041,0.737985,0.740097,0.692511,0.691176,0.693846,1.0,1.0,1.0,2486.13151,2486.124022,2486.138997,0.0,0.0,0.0,2365.09324,2365.092646,2365.093835,0.486161,0.478212,0.494111,2106356.770746,2072006.434392,2140707.107101
static,1000,0.147528,0.141672,0.153384,30.213689,29.014391,31.412987,3694.772887,3505.291708,3884.254067,8967.240564,8821.235734,9113.245393,0.852472,0.846616,0.858328,0.712497,0.703382,0.721612,0.433796,0.424913,0.442679,0.433532,0.424689,0.442376,1.0,1.0,1.0,602.940658,593.839901,612.041414,48.233721,48.000655,48.466787,435.929142,426.606589,445.251696,6.013742,5.69512,6.332364,170328.721436,161233.27428,179424.168592
laca,1000,0.110889,0.108658,0.113119,22.710044,22.253225,23.166864,7274.247754,7235.976121,7312.519387,21491.662748,20497.543577,22485.781918,0.889111,0.886881,0.891342,0.612105,0.607516,0.616693,0.508142,0.505759,0.510526,0.507887,0.505112,0.510661,1.0,1.0,1.0,615.623524,611.648596,619.598452,47.869908,47.76818,47.971637,450.693373,446.625054,454.761693,4.426717,4.354473,4.49896,231329.355918,227540.115125,235118.596711
tabular,1000,0.180667,0.157465,0.203868,37.000533,32.248823,41.752243,8171.32357,6321.634806,10021.012335,23537.368506,17616.225065,29458.511948,0.819333,0.796132,0.842535,0.746805,0.730874,0.762737,0.354953,0.336263,0.373644,0.354953,0.336263,0.373644,1.0,1.0,1.0,540.419549,497.02917,583.809928,49.803837,48.71059,50.897084,373.277427,329.644613,416.910241,8.215871,7.419422,9.01232,124765.673713,112458.210337,137073.137089
tab_ddqn,1000,0.170056,0.100889,0.239222,34.827378,20.662143,48.992613,8744.138985,6036.497795,11451.780176,25977.212047,15342.893491,36611.530603,0.829944,0.760778,0.899111,0.733021,0.588693,0.87735,0.348105,0.314824,0.381386,0.348105,0.314824,0.381386,1.0,1.0,1.0,527.343189,475.109259,579.577119,50.119042,48.867223,51.370862,360.771168,311.145051,410.397284,7.904368,5.245782,10.562954,131281.058347,83580.565023,178981.551672
dqn,1000,0.180417,0.155263,0.205571,36.949333,31.79781,42.100857,7970.623999,6579.856718,9361.39128,22502.696688,18769.19257,26236.200806,0.819583,0.794429,0.844737,0.736212,0.675024,0.7974,0.359791,0.325443,0.394138,0.359791,0.325443,0.394138,1.0,1.0,1.0,546.268557,515.084152,577.452963,49.658343,48.876373,50.440313,379.075231,347.893357,410.257104,8.113195,7.384681,8.841709,126325.839424,114808.428129,137843.250718
ddqn,1000,0.196431,0.192753,0.200108,40.228978,39.475767,40.982188,9002.642084,8327.27838,9678.005787,25526.07385,21320.938181,29731.209519,0.803569,0.799892,0.807247,0.779513,0.768569,0.790458,0.276895,0.213716,0.340074,0.276895,0.213716,0.340074,1.0,1.0,1.0,518.771821,507.851149,529.692493,50.336644,50.081269,50.592019,352.065084,341.964948,362.165221,9.306409,8.942209,9.670609,110050.072994,105703.914286,114396.231703
ppo,1000,0.210181,0.159978,0.260383,43.044978,32.76356,53.326396,8300.343569,5745.589338,10855.097801,25281.310289,20104.094964,30458.525613,0.789819,0.739617,0.840022,0.786195,0.782233,0.790157,0.254098,0.205396,0.3028,0.254098,0.205396,0.3028,1.0,1.0,1.0,511.206399,509.230435,513.182363,50.535586,50.450215,50.620956,344.077432,340.428705,347.726159,10.10446,7.684432,12.524489,101990.930386,76852.977501,127128.883271
