policy,num_stas,seed,critical_pdr,high_pdr,normal_pdr,overall_pdr,critical_throughput_share,high_throughput_share,normal_throughput_share,elapsed_s
adaptive,600,99,0.20617816091954022,0.2164918414918415,0.2098997493734336,0.2111111111111111,0.09440789473684211,0.2444078947368421,0.6611842105263158,21.07
laca,600,42,0.19827586206896552,0.19405594405594406,0.19486215538847118,0.195,0.09829059829059829,0.23717948717948717,0.6645299145299145,20.93
laca,600,7,0.17600574712643677,0.19289044289044288,0.19580200501253134,0.19319444444444445,0.08806613946800863,0.23795830337886412,0.6739755571531273,20.87
laca,600,99,0.21192528735632185,0.19114219114219114,0.19371345029239767,0.19486111111111112,0.10513186029935852,0.23378474697077692,0.6610833927298646,20.46
chang2019,600,42,0.09698275862068965,0.09586247086247086,0.09878863826232247,0.09791666666666667,0.09574468085106383,0.23333333333333334,0.6709219858156028,70.48
chang2019,600,7,0.08692528735632184,0.09411421911421912,0.09899749373433583,0.09666666666666666,0.08692528735632184,0.23204022988505746,0.6810344827586207,71.05
chang2019,600,99,0.08764367816091954,0.10314685314685315,0.10662071846282373,0.10395833333333333,0.08149632598530394,0.23647294589178355,0.6820307281229125,61.77
no_raw,800,42,0.027777777777777776,0.022435897435897436,0.020872420262664164,0.021875,0.11428571428571428,0.25,0.6357142857142857,761.56
no_raw,800,7,0.027777777777777776,0.02329059829059829,0.019543464665415886,0.021197916666666667,0.11793611793611794,0.2678132678132678,0.6142506142506142,732.57
no_raw,800,99,0.02488425925925926,0.022863247863247862,0.0207942464040025,0.021666666666666667,0.10336538461538461,0.25721153846153844,0.6394230769230769,1747.46
static,800,42,0.14699074074074073,0.11987179487179488,0.1446998123827392,0.13885416666666667,0.09527381845461365,0.21042760690172543,0.694298574643661,54.57
static,800,7,0.17708333333333334,0.12008547008547009,0.14126016260162602,0.13932291666666666,0.11439252336448598,0.21009345794392523,0.6755140186915888,25.35
static,800,99,0.1684027777777778,0.13012820512820514,0.14063477173233271,0.14057291666666666,0.10781771026306039,0.22563912560207483,0.6665431641348648,25.71
adaptive,800,42,0.13252314814814814,0.1282051282051282,0.13500625390869295,0.133125,0.08959311424100157,0.2347417840375587,0.6756651017214398,26.44
adaptive,800,7,0.1371527777777778,0.12799145299145298,0.13703877423389618,0.13484375,0.09154113557358054,0.231363460795674,0.6770954036307455,27.29
adaptive,800,99,0.125,0.13354700854700854,0.1353189493433396,0.13395833333333335,0.08398133748055987,0.24300155520995334,0.6730171073094868,26.4
laca,800,42,0.12789351851851852,0.11944444444444445,0.13641338336460287,0.13151041666666666,0.08752475247524752,0.2213861386138614,0.691089108910891,29.88
laca,800,7,0.140625,0.13183760683760684,0.13219199499687304,0.13286458333333334,0.09525676205409643,0.24186593492747943,0.6628773030184242,29.32
laca,800,99,0.13136574074074073,0.12457264957264957,0.1290650406504065,0.12817708333333333,0.09223892726533929,0.23689557090613572,0.670865501828525,28.91
chang2019,800,42,0.07349537037037036,0.0685897435897436,0.0675422138836773,0.06833333333333333,0.09679878048780488,0.24466463414634146,0.6585365853658537,92.79
chang2019,800,7,0.078125,0.07008547008547009,0.06449343339587242,0.06708333333333333,0.1048136645962733,0.2546583850931677,0.640527950310559,83.3
