policy,n,seed,pdr,tput_kbps,avg_delay_ms,p95_delay_ms,drop_rate,fairness,col_rate,retry_rate,raw_fit_pass,e_total_mj,e_sleep_mj,e_idle_mj,ee_kbit_j,e_per_pkt_uj
tab_ddqn,600,42,0.342014,42.026667,5047.071089,13566.879421,0.657986,0.783466,0.377018,0.377018,1.0,440.579781,52.646865,258.109706,19.077892,53674.694184
tab_ddqn,600,7,0.291806,35.857067,5713.666031,15007.79768,0.708194,0.775796,0.380602,0.380602,1.0,443.675807,52.491803,264.701721,16.163634,63352.090469
tab_ddqn,600,99,0.254792,31.3088,5872.621719,15553.885569,0.745208,0.750489,0.427571,0.427571,1.0,448.034133,52.354103,270.354733,13.976078,73268.051178
tab_ddqn,800,42,0.249844,40.9344,7319.060275,20395.21987,0.750156,0.798756,0.310386,0.310386,1.0,478.87406,51.451492,307.004181,12.822077,79862.257315
tab_ddqn,800,7,0.215625,35.328,6994.568026,18591.109331,0.784375,0.726402,0.373732,0.373732,1.0,495.515168,51.027926,323.945264,10.694325,95751.723199
tab_ddqn,800,99,0.239323,39.210667,6441.277024,18335.163261,0.760677,0.769998,0.353723,0.353723,1.0,491.324706,51.155123,318.75118,11.970902,85540.7541
tab_ddqn,1000,42,0.137958,28.253867,9754.14405,29933.761111,0.862042,0.668907,0.356222,0.356222,1.0,507.765087,50.578955,342.592644,6.677229,153357.018218
tab_ddqn,1000,7,0.187667,38.434133,7588.932564,21433.329401,0.812333,0.747986,0.355451,0.355451,1.0,549.565511,49.580444,382.15596,8.392259,122017.209471
tab_ddqn,1000,99,0.184542,37.794133,8889.340342,26564.545628,0.815458,0.78217,0.332642,0.332642,1.0,524.698968,50.197729,357.564899,8.643615,118468.947354
dqn,100,42,0.9875,20.224,1254.192989,3639.137606,0.0125,0.999626,0.109038,0.109038,1.0,356.722852,55.331145,147.859646,68.032647,15051.597139
dqn,100,7,0.999583,20.471467,904.079977,2197.738944,0.000417,0.999983,0.221635,0.221635,1.0,422.790549,53.836317,206.679242,58.103853,17623.616041
dqn,100,99,0.99125,20.3008,1016.488812,3127.145484,0.00875,0.999495,0.250877,0.250877,1.0,487.535241,52.221379,271.060709,49.967588,20493.284629
dqn,200,42,0.943333,38.638933,2242.610104,5004.63657,0.056667,0.996713,0.229568,0.229568,1.0,453.471902,52.977731,241.400154,51.124138,20029.677665
dqn,200,7,0.890208,36.462933,2625.113013,5967.64394,0.109792,0.990148,0.271539,0.271539,1.0,467.748171,52.616051,255.867646,46.772518,21893.197821
dqn,200,99,0.978125,40.064,2212.815322,4927.365503,0.021875,0.998823,0.229948,0.229948,1.0,468.971736,52.636314,254.767381,51.257673,19977.496758
dqn,400,42,0.499688,40.9344,3830.06194,9982.574071,0.500312,0.851791,0.395531,0.395531,1.0,422.656647,53.395931,226.67058,29.055074,35243.414377
dqn,400,7,0.423646,34.705067,3942.026629,10805.931334,0.576354,0.843899,0.394167,0.394167,1.0,396.435758,53.947728,205.216146,26.262818,38990.485181
dqn,400,99,0.45,36.864,4092.889407,10163.89043,0.55,0.836725,0.396415,0.396308,1.0,433.956706,53.024797,241.933246,25.48457,40181.176442
dqn,600,42,0.339236,41.685333,5321.737487,14567.934418,0.660764,0.772138,0.34885,0.34885,1.0,444.560798,52.510972,263.710325,18.75349,54603.168699
dqn,600,7,0.333542,40.9856,4981.315704,13031.230572,0.666458,0.778984,0.375273,0.375273,1.0,460.17623,52.132428,278.748414,17.813002,57486.099939
dqn,600,99,0.338819,41.634133,5467.521385,14357.505703,0.661181,0.80569,0.324319,0.324319,1.0,454.326483,52.234743,274.885507,18.327848,55871.262472
dqn,800,42,0.185729,30.429867,11109.807547,36128.23951,0.814271,0.792044,0.24867,0.24867,1.0,442.130092,52.274462,274.688994,10.323839,99187.906225
dqn,800,7,0.236667,38.775467,8573.987107,25106.991963,0.763333,0.811174,0.257845,0.257845,1.0,454.410019,52.032097,284.010254,12.799718,80001.763916
