policy,n,seed,pdr,tput_kbps,avg_delay_ms,p95_delay_ms,drop_rate,fairness,col_rate,retry_rate,raw_fit_pass,e_total_mj,e_sleep_mj,e_idle_mj,ee_kbit_j,e_per_pkt_uj
tabular,800,99,0.202552,33.186133,6651.229815,18967.037826,0.797448,0.706401,0.414246,0.414246,1.0,489.654372,51.18849,317.47888,10.166191,100726.021534
tabular,1000,42,0.136417,27.938133,8088.971899,22950.520015,0.863583,0.667356,0.448822,0.448822,1.0,581.975195,48.731346,416.231264,5.760685,177756.626358
tabular,1000,7,0.114917,23.534933,9796.200135,29120.591583,0.885083,0.6376,0.464211,0.464211,1.0,547.798333,49.579841,382.43615,5.155532,198621.58568
tabular,1000,99,0.149375,30.592,8289.914599,22191.392429,0.850625,0.694602,0.445156,0.445156,1.0,527.481774,50.143322,359.676428,6.959558,147135.780696
tab_ddqn,100,42,0.99,20.2752,1051.894502,2875.697385,0.01,0.999642,0.135741,0.135741,1.0,338.39713,55.843366,127.163437,71.898482,14242.303443
tab_ddqn,100,7,0.996667,20.411733,1110.819889,3074.671252,0.003333,0.999871,0.285751,0.285751,1.0,456.878354,53.090594,235.883746,53.61182,19100.26565
tab_ddqn,100,99,1.0,20.48,991.223748,2359.826853,0.0,1.0,0.233716,0.233716,1.0,444.387823,53.306263,227.766055,55.303046,18516.159276
tab_ddqn,200,42,0.763542,31.274667,2105.348541,5170.84074,0.236458,0.976562,0.434338,0.434211,1.0,484.539327,52.376511,264.568369,38.727094,26441.436648
tab_ddqn,200,7,0.626875,25.6768,2318.097313,6019.095391,0.373125,0.918245,0.545488,0.544747,1.0,468.047484,52.848135,245.528559,32.915635,31109.836116
tab_ddqn,200,99,0.868333,35.566933,2023.057522,5001.379239,0.131667,0.984865,0.370017,0.370017,1.0,484.094101,52.395899,263.711019,44.082669,23229.08356
tab_ddqn,400,42,0.389375,31.8976,4026.110922,10520.752576,0.610625,0.757013,0.464848,0.464531,1.0,452.580098,52.548721,260.995475,21.143837,48430.187017
tab_ddqn,400,7,0.316354,25.915733,4295.566641,10247.392718,0.683646,0.775738,0.496047,0.495815,1.0,462.876275,52.193519,275.67982,16.79654,60964.935735
tab_ddqn,400,99,0.3825,31.3344,3824.487801,9929.00839,0.6175,0.759793,0.461506,0.461399,1.0,458.758275,52.37836,267.869367,20.490791,49973.668328
tab_ddqn,600,42,0.198125,24.3456,6328.196648,19046.130927,0.801875,0.711858,0.461625,0.461625,1.0,461.490237,51.949496,286.851759,10.550862,97053.67768
tab_ddqn,600,7,0.254722,31.300267,5144.43482,13893.59743,0.745278,0.699986,0.44922,0.44922,1.0,470.236628,51.822856,291.416486,13.31256,76919.840923
tab_ddqn,600,99,0.263194,32.341333,5453.50203,14028.939592,0.736806,0.744084,0.433879,0.433782,1.0,468.019632,51.879391,289.152222,13.820503,74092.817795
