policy,n,pdr_mean,pdr_ci_lo,pdr_ci_hi,tput_kbps_mean,tput_kbps_ci_lo,tput_kbps_ci_hi,avg_delay_ms_mean,avg_delay_ms_ci_lo,avg_delay_ms_ci_hi,p95_delay_ms_mean,p95_delay_ms_ci_lo,p95_delay_ms_ci_hi,drop_rate_mean,drop_rate_ci_lo,drop_rate_ci_hi,fairness_mean,fairness_ci_lo,fairness_ci_hi,col_rate_mean,col_rate_ci_lo,col_rate_ci_hi,retry_rate_mean,retry_rate_ci_lo,retry_rate_ci_hi,raw_fit_pass_mean,raw_fit_pass_ci_lo,raw_fit_pass_ci_hi,e_total_mj_mean,e_total_mj_ci_lo,e_total_mj_ci_hi,e_sleep_mj_mean,e_sleep_mj_ci_lo,e_sleep_mj_ci_hi,e_idle_mj_mean,e_idle_mj_ci_lo,e_idle_mj_ci_hi,ee_kbit_j_mean,ee_kbit_j_ci_lo,ee_kbit_j_ci_hi,e_per_pkt_uj_mean,e_per_pkt_uj_ci_lo,e_per_pkt_uj_ci_hi,aoi_s_mean,aoi_s_ci_lo,aoi_s_ci_hi,dvr_pct_mean,dvr_pct_ci_lo,dvr_pct_ci_hi,assoc_mean_s_mean,assoc_mean_s_ci_lo,assoc_mean_s_ci_hi,assoc_max_s_mean,assoc_max_s_ci_lo,assoc_max_s_ci_hi,assoc_frac_mean,assoc_frac_ci_lo,assoc_frac_ci_hi
no_raw,600,0.085417,0.083753,0.08708,10.496,10.291558,10.700442,2944.927091,2915.241293,2974.612889,5043.571906,5009.106047,5078.037764,0.914583,0.91292,0.916247,0.806494,0.791634,0.821355,0.817382,0.81503,0.819734,0.764382,0.76232,0.766443,1.0,1.0,1.0,2498.236226,2498.229812,2498.242639,0.0,0.0,0.0,2363.565272,2363.564863,2363.565681,0.840273,0.823907,0.856639,1218701.557819,1195060.0665,1242343.049139,33.192079,32.799806,33.584351,91.953704,91.821937,92.085471,47.737458,46.248967,49.22595,119.80428,119.341972,120.266588,0.817778,0.807358,0.828198
static,600,0.262338,0.260251,0.264425,32.236089,31.97964,32.492538,3694.94048,3489.578763,3900.302197,9064.984461,8489.049485,9640.919438,0.737662,0.735575,0.739749,0.718404,0.688344,0.748465,0.498065,0.495859,0.500271,0.497661,0.495302,0.50002,1.0,1.0,1.0,510.548836,505.196617,515.901056,50.87645,50.739668,51.013232,328.843588,323.374795,334.31238,12.628162,12.463288,12.793035,81090.09366,80033.211736,82146.975584,29.985534,29.8988,30.072268,79.546296,78.770452,80.322141,12.097158,11.613061,12.581255,18.98336,18.464339,19.502382,0.998889,0.996498,1.001279
adaptive,600,0.248403,0.246585,0.25022,30.523733,30.300381,30.747086,4095.381437,3955.150942,4235.611931,10056.765746,9960.696362,10152.83513,0.751597,0.74978,0.753415,0.66427,0.645538,0.683001,0.528245,0.52735,0.52914,0.527298,0.525426,0.52917,1.0,1.0,1.0,528.486635,521.995935,534.977335,50.42058,50.254682,50.586479,347.067147,340.434031,353.700263,11.551469,11.465768,11.63717,88647.261486,87988.927575,89305.595397,27.799375,27.298862,28.299889,82.125,81.451274,82.798726,12.646845,12.326666,12.967023,19.979509,19.350801,20.608218,1.0,1.0,1.0
laca,600,0.222361,0.213809,0.230913,27.323733,26.272904,28.374562,4974.480898,4850.944156,5098.017639,13134.54787,12691.865792,13577.229948,0.777639,0.769087,0.786191,0.654995,0.636773,0.673217,0.507305,0.494047,0.520563,0.506951,0.494443,0.519459,0.981582,0.977292,0.985872,501.72298,497.725943,505.720016,51.02098,50.917736,51.124224,323.480321,319.344578,327.616065,10.892266,10.412365,11.372167,94031.268096,89910.94669,98151.589502,29.620557,29.10187,30.139244,85.895833,85.139086,86.65258,11.188122,11.033245,11.342998,15.907826,15.722825,16.092828,0.999444,0.997054,1.001835
chang2019,600,0.11787,0.115978,0.119763,14.483911,14.251358,14.716464,2978.287952,2880.563505,3076.012398,6287.151601,5758.911828,6815.391374,0.88213,0.880237,0.884022,0.651121,0.59683,0.705411,0.733584,0.732081,0.735087,0.709792,0.705773,0.71381,1.0,1.0,1.0,976.151213,954.075565,998.226861,38.973281,38.406651,39.539911,804.87038,782.20198,827.53878,2.967651,2.912123,3.02318,345067.069777,338605.088307,351529.051248,33.192157,32.21167,34.172643,89.650463,89.32986,89.971066,18.44491,18.251166,18.638654,32.016668,31.848461,32.184876,0.999444,0.997054,1.001835
tasm_raw,600,0.244676,0.219621,0.269731,30.065778,26.987051,33.144505,4116.583866,3655.93358,4577.234152,10647.876616,9170.224274,12125.528958,0.755324,0.730269,0.780379,0.595729,0.491058,0.7004,0.538088,0.513141,0.563036,0.537376,0.51304,0.561712,0.999509,0.997621,1.001397,532.743128,511.774421,553.711834,50.318586,49.767872,50.8693,351.11396,329.012116,373.215804,11.29339,9.721892,12.864888,90856.939699,78585.759151,103128.120247,29.725398,26.250735,33.200061,81.155093,78.955886,83.354299,12.369412,12.100472,12.638353,19.538434,18.792335,20.284532,0.999444,0.997054,1.001835
traw,600,0.277731,0.274624,0.280839,34.127644,33.745854,34.509435,3778.315103,3421.129912,4135.500293,9677.831502,8920.101747,10435.561258,0.722269,0.719161,0.725376,0.560405,0.531461,0.589349,0.514419,0.512603,0.516236,0.513134,0.511399,0.51487,0.997067,0.996056,0.998077,545.671549,536.16481,555.178288,50.020791,49.772857,50.268726,362.847335,352.909791,372.78488,12.508901,12.251088,12.766714,81865.462478,80178.094913,83552.830042,28.616992,27.404729,29.829255,77.722222,76.793315,78.651129,13.157495,12.657577,13.657412,21.327711,20.644615,22.010806,0.999444,0.997054,1.001835
no_raw,800,0.063299,0.062363,0.064235,10.370844,10.217482,10.524207,2849.52997,2777.837423,2921.222517,5015.971183,4902.875285,5129.067082,0.936701,0.935765,0.937637,0.799304,0.782962,0.815647,0.77681,0.774364,0.779257,0.726499,0.725338,0.727661,1.0,1.0,1.0,2490.673366,2490.667234,2490.679497,0.0,0.0,0.0,2364.520172,2364.519548,2364.520795,0.624581,0.615344,0.633817,1639538.607102,1615210.302591,1663866.911613,40.226466,39.805067,40.647865,93.991319,93.819012,94.163627,49.378107,48.819117,49.937096,119.743157,119.280407,120.205907,0.6025,0.588964,0.616036
static,800,0.189427,0.187775,0.191079,31.035733,30.765074,31.306393,3727.457755,3548.289442,3906.626069,8983.644014,8900.299843,9066.988185,0.810573,0.808921,0.812225,0.713301,0.697198,0.729405,0.466193,0.463615,0.46877,0.465724,0.463448,0.468,1.0,1.0,1.0,546.878105,542.44869,551.30752,49.773991,49.660963,49.88702,373.802165,369.283686,378.320643,8.512624,8.458552,8.566695,120292.462495,119529.145808,121055.779182,37.150575,36.821458,37.479693,85.284722,84.896472,85.672972,16.015279,15.772113,16.258445,24.978621,24.440528,25.516715,1.0,1.0,1.0
adaptive,800,0.169948,0.168136,0.171759,27.844267,27.547471,28.141062,5011.073113,4979.899351,5042.246874,13529.280826,12539.406309,14519.155343,0.830052,0.828241,0.831864,0.615814,0.597982,0.633646,0.529826,0.526997,0.532656,0.528793,0.525666,0.531919,1.0,1.0,1.0,598.647081,590.542791,606.751371,48.453571,48.245857,48.661285,426.599627,418.29098,434.908274,6.97703,6.814303,7.139757,146775.983565,143335.946566,150216.020564,31.449307,31.378574,31.52004,89.102431,88.758545,89.446316,17.583725,17.312567,17.854884,28.247013,27.892273,28.601752,0.999583,0.99779,1.001376
