mode,n,episode,seed,pdr,qtable_states,epsilon,episode_count,update_count
ddqn,200,16,377,0.7145833333333333,0,0.05,17,241
ddqn,200,17,610,0.7110416666666667,0,0.05,18,241
ddqn,200,18,987,0.87125,0,0.05,19,241
ddqn,200,19,1597,0.8489583333333334,0,0.05,20,241
ddqn,200,20,2584,0.885625,0,0.05,21,241
ddqn,400,1,0,0.45197916666666665,0,0.05,2,241
ddqn,400,2,100,0.47541666666666665,0,0.05,3,241
ddqn,400,3,200,0.3840625,0,0.05,4,241
ddqn,400,4,300,0.48072916666666665,0,0.05,5,241
ddqn,400,5,400,0.47739583333333335,0,0.05,6,241
ddqn,400,6,13,0.47875,0,0.05,7,241
ddqn,600,1,0,0.24152777777777779,0,0.05,2,241
ddqn,600,2,100,0.27284722222222224,0,0.05,3,241
ddqn,600,3,200,0.29909722222222224,0,0.05,4,241
ddqn,600,4,300,0.31881944444444443,0,0.05,5,241
ddqn,600,5,400,0.26340277777777776,0,0.05,6,241
ddqn,600,6,13,0.24597222222222223,0,0.05,7,241
ddqn,600,7,77,0.2967361111111111,0,0.05,8,241
ddqn,600,8,31,0.33576388888888886,0,0.05,9,241
ddqn,600,9,55,0.31631944444444443,0,0.05,10,241
ddqn,600,10,88,0.3198611111111111,0,0.05,11,241
ddqn,600,11,21,0.26,0,0.05,12,241
ddqn,600,12,34,0.3729166666666667,0,0.05,13,241
ddqn,600,13,89,0.3581944444444444,0,0.05,14,241
ddqn,600,14,144,0.31083333333333335,0,0.05,15,241
ddqn,600,15,233,0.22729166666666667,0,0.05,16,241
ddqn,600,16,377,0.3136111111111111,0,0.05,17,241
ddqn,600,17,610,0.2851388888888889,0,0.05,18,241
ddqn,600,18,987,0.30743055555555554,0,0.05,19,241
ddqn,600,19,1597,0.3173611111111111,0,0.05,20,241
ddqn,600,20,2584,0.3273611111111111,0,0.05,21,241
ddqn,800,1,0,0.194375,0,0.05,2,241
ddqn,800,2,100,0.21848958333333332,0,0.05,3,241
ddqn,800,3,200,0.23395833333333332,0,0.05,4,241
ddqn,800,4,300,0.24567708333333332,0,0.05,5,241
ddqn,800,5,400,0.23432291666666666,0,0.05,6,241
ddqn,800,6,13,0.25979166666666664,0,0.05,7,241
ddqn,800,7,77,0.2613020833333333,0,0.05,8,241
ddqn,800,8,31,0.24833333333333332,0,0.05,9,241
ddqn,800,9,55,0.24072916666666666,0,0.05,10,241
ddqn,800,10,88,0.24572916666666667,0,0.05,11,241
ddqn,1000,1,0,0.11158333333333334,0,0.05,2,241
ddqn,1000,2,100,0.16533333333333333,0,0.05,3,241
ddqn,1000,3,200,0.125,0,0.05,4,241
ddqn,1000,4,300,0.10733333333333334,0,0.05,5,241
ddqn,1000,5,400,0.094,0,0.05,6,241
ddqn,1000,6,13,0.19591666666666666,0,0.05,7,241
ddqn,1000,7,77,0.19775,0,0.05,8,241
ddqn,1000,8,31,0.142875,0,0.05,9,241
ddqn,1000,9,55,0.18325,0,0.05,10,241
ddqn,1000,10,88,0.171625,0,0.05,11,241
ddqn,1000,11,21,0.186,0,0.05,12,241
ddqn,1000,12,34,0.18754166666666666,0,0.05,13,241
ddqn,1000,13,89,0.183375,0,0.05,14,241
ppo,100,1,0,0.935,0,0.4,2,241
ppo,100,2,100,0.9341666666666667,0,0.4,3,241
ppo,100,3,200,0.9833333333333333,0,0.4,4,241
ppo,100,4,300,0.9341666666666667,0,0.4,5,241
ppo,100,5,400,0.9295833333333333,0,0.4,6,241
ppo,100,6,13,0.9675,0,0.4,7,241
ppo,100,7,77,0.8679166666666667,0,0.4,8,241
ppo,100,8,31,0.6829166666666666,0,0.4,9,241
ppo,100,9,55,0.7591666666666667,0,0.4,10,241
ppo,100,10,88,0.67375,0,0.4,11,241
ppo,100,11,21,0.7495833333333334,0,0.4,12,241
ppo,100,12,34,0.74,0,0.4,13,241
ppo,100,13,89,0.9379166666666666,0,0.4,14,241
ppo,100,14,144,0.785,0,0.4,15,241
ppo,100,15,233,0.85125,0,0.4,16,241
ppo,100,16,377,0.9220833333333334,0,0.4,17,241
ppo,100,17,610,0.7158333333333333,0,0.4,18,241
ppo,100,18,987,0.88375,0,0.4,19,241
ppo,100,19,1597,0.705,0,0.4,20,241
ppo,100,20,2584,0.86875,0,0.4,21,241
ppo,200,1,0,0.6139583333333334,0,0.4,2,241
ppo,200,2,100,0.7970833333333334,0,0.4,3,241
ppo,200,3,200,0.8358333333333333,0,0.4,4,241
ppo,200,4,300,0.6327083333333333,0,0.4,5,241
ppo,200,5,400,0.9285416666666667,0,0.4,6,241
ppo,200,6,13,0.8564583333333333,0,0.4,7,241
ppo,200,7,77,0.98,0,0.4,8,241
ppo,200,8,31,0.9033333333333333,0,0.4,9,241
ppo,200,9,55,0.9810416666666667,0,0.4,10,241
ppo,200,10,88,0.9552083333333333,0,0.4,11,241
ppo,200,11,21,0.9564583333333333,0,0.4,12,241
ppo,200,12,34,0.9720833333333333,0,0.4,13,241
ppo,200,13,89,0.98,0,0.4,14,241
ppo,200,14,144,0.965,0,0.4,15,241
ppo,200,15,233,0.9239583333333333,0,0.4,16,241
ppo,200,16,377,0.9547916666666667,0,0.4,17,241
ppo,200,17,610,0.961875,0,0.4,18,241
ppo,200,18,987,0.9695833333333334,0,0.4,19,241
ppo,400,1,0,0.40125,0,0.4,2,241
ppo,400,2,100,0.5263541666666667,0,0.4,3,241
ppo,400,3,200,0.4686458333333333,0,0.4,4,241
ppo,400,4,300,0.5853125,0,0.4,5,241
ppo,400,5,400,0.5715625,0,0.4,6,241
ppo,400,6,13,0.4896875,0,0.4,7,241
ppo,400,7,77,0.5659375,0,0.4,8,241
ppo,400,8,31,0.5692708333333333,0,0.4,9,241
ppo,400,9,55,0.5716666666666667,0,0.4,10,241
ppo,600,1,0,0.25840277777777776,0,0.4,2,241
ppo,600,2,100,0.32958333333333334,0,0.4,3,241
ppo,600,3,200,0.4014583333333333,0,0.4,4,241
ppo,600,4,300,0.4103472222222222,0,0.4,5,241
ppo,600,5,400,0.40652777777777777,0,0.4,6,241
ppo,800,1,0,0.16447916666666668,0,0.4,2,241
ppo,800,2,100,0.20192708333333334,0,0.4,3,241
ppo,800,3,200,0.23088541666666668,0,0.4,4,241
ppo,800,4,300,0.24234375,0,0.4,5,241
ppo,800,5,400,0.21817708333333333,0,0.4,6,241
ppo,800,6,13,0.25005208333333334,0,0.4,7,241
ppo,800,7,77,0.30791666666666667,0,0.4,8,241
ppo,800,8,31,0.3113020833333333,0,0.4,9,241
ppo,800,9,55,0.3102083333333333,0,0.4,10,241
ppo,1000,1,0,0.08395833333333333,0,0.4,2,241
ppo,1000,2,100,0.141625,0,0.4,3,241
ppo,1000,3,200,0.15554166666666666,0,0.4,4,241
ppo,1000,4,300,0.170375,0,0.4,5,241
ppo,1000,5,400,0.18341666666666667,0,0.4,6,241
ppo,1000,6,13,0.2085,0,0.4,7,241
ppo,1000,7,77,0.203625,0,0.4,8,241
ppo,1000,8,31,0.211,0,0.4,9,241
