policy,num_stas,packet_interval,n_seeds,pdr_mean,pdr_ci_lo,pdr_ci_hi,tput_kbps_mean,tput_kbps_ci_lo,tput_kbps_ci_hi,avg_delay_ms_mean,avg_delay_ms_ci_lo,avg_delay_ms_ci_hi,p95_delay_ms_mean,p95_delay_ms_ci_lo,p95_delay_ms_ci_hi,drop_rate_mean,drop_rate_ci_lo,drop_rate_ci_hi,fairness_mean,fairness_ci_lo,fairness_ci_hi,col_rate_mean,col_rate_ci_lo,col_rate_ci_hi,retry_rate_mean,retry_rate_ci_lo,retry_rate_ci_hi,raw_fit_pass_mean,raw_fit_pass_ci_lo,raw_fit_pass_ci_hi,assoc_mean_ms_mean,assoc_mean_ms_ci_lo,assoc_mean_ms_ci_hi,assoc_max_ms_mean,assoc_max_ms_ci_lo,assoc_max_ms_ci_hi,assoc_scan_ms_mean,assoc_scan_ms_ci_lo,assoc_scan_ms_ci_hi,assoc_auth_ms_mean,assoc_auth_ms_ci_lo,assoc_auth_ms_ci_hi,assoc_req_ms_mean,assoc_req_ms_ci_lo,assoc_req_ms_ci_hi,assoc_frac_mean,assoc_frac_ci_lo,assoc_frac_ci_hi,e_total_mj_mean,e_total_mj_ci_lo,e_total_mj_ci_hi,e_tx_mj_mean,e_tx_mj_ci_lo,e_tx_mj_ci_hi,e_rx_mj_mean,e_rx_mj_ci_lo,e_rx_mj_ci_hi,e_idle_mj_mean,e_idle_mj_ci_lo,e_idle_mj_ci_hi,e_sleep_mj_mean,e_sleep_mj_ci_lo,e_sleep_mj_ci_hi,e_retx_mj_mean,e_retx_mj_ci_lo,e_retx_mj_ci_hi,retx_energy_pct_mean,retx_energy_pct_ci_lo,retx_energy_pct_ci_hi,avg_tx_retries_mean,avg_tx_retries_ci_lo,avg_tx_retries_ci_hi,ee_kbit_j_mean,ee_kbit_j_ci_lo,ee_kbit_j_ci_hi,e_per_pkt_uj_mean,e_per_pkt_uj_ci_lo,e_per_pkt_uj_ci_hi
adaptive,200,5.0,3,0.928264,0.922024,0.934503,38.021689,37.766118,38.27726,1465.606006,1453.498396,1477.713615,3610.970072,3498.130102,3723.810042,0.071736,0.065497,0.077976,0.996722,0.995441,0.998002,0.391567,0.381764,0.40137,0.391427,0.381475,0.401379,1.0,1.0,1.0,9823.275098,9274.870159,10371.680037,18048.343556,17785.345005,18311.342107,5253.104764,5246.92552,5259.284009,2088.623202,1698.771733,2478.474671,2474.898558,2304.124989,2645.672127,1.0,1.0,1.0,599.581768,590.22314,608.940395,70.497512,69.478906,71.516118,103.880085,103.847669,103.912502,375.628451,366.902912,384.353989,49.57572,49.355237,49.796202,26.671472,25.440068,27.902876,4.44815,4.301974,4.594327,16.883333,16.175152,17.591515,38.049329,37.340942,38.757716,26913.437747,26413.622229,27413.253264
cluster_csv,200,5.0,3,0.883194,0.86382,0.902569,36.175644,35.382047,36.969242,1649.014774,1547.463266,1750.566282,4295.174202,3866.825481,4723.522923,0.116806,0.097431,0.13618,0.983717,0.980168,0.987267,0.397771,0.380246,0.415296,0.397663,0.379673,0.415652,1.0,1.0,1.0,9717.065276,9197.268648,10236.861903,17165.024,16456.974381,17873.073619,5252.959324,5247.351379,5258.56727,2131.424567,1692.001822,2570.847311,2328.361833,2243.982687,2412.740979,1.0,1.0,1.0,618.710616,612.795103,624.626129,67.980808,67.152491,68.809125,103.784677,103.708838,103.860515,397.918913,391.174403,404.663423,49.026218,48.859079,49.193358,23.906128,23.258547,24.553709,3.863969,3.73306,3.994877,15.303333,14.933523,15.673144,35.081222,34.630246,35.532198,29189.92436,28815.797505,29564.051215
cluster_adaptive,200,5.0,3,0.924236,0.919263,0.929209,37.856711,37.653003,38.060419,1470.55912,1438.901195,1502.217046,3695.194291,3623.202584,3767.185998,0.075764,0.070791,0.080737,0.998004,0.997551,0.998457,0.391817,0.381969,0.401665,0.391678,0.38195,0.401407,1.0,1.0,1.0,9346.69592,8200.147144,10493.244696,16968.647111,14877.304368,19059.989855,5252.287702,5248.818319,5255.757086,1908.629611,1371.431347,2445.827875,2179.281918,1569.954621,2788.609215,1.0,1.0,1.0,591.80735,568.691711,614.922989,70.48012,69.288926,71.671314,103.876062,103.765944,103.98618,367.67657,345.247163,390.105978,49.774597,49.209907,50.339288,26.572,25.093874,28.050126,4.489664,4.415759,4.563569,16.873333,15.663105,18.083561,38.387866,36.70648,40.069252,26680.679415,25500.447182,27860.911648
laca,200,5.0,3,0.897639,0.894696,0.900582,36.767289,36.646742,36.887835,1834.79939,1705.965882,1963.632897,4457.188985,4228.809568,4685.568402,0.102361,0.099418,0.105304,0.991898,0.991169,0.992626,0.381387,0.376342,0.386431,0.381205,0.376135,0.386275,0.992963,0.989391,0.996534,9315.729669,8810.687987,9820.771351,16311.592889,15664.783835,16958.401943,5252.952804,5246.488987,5259.416622,1926.925318,1661.533422,2192.317213,2128.296362,1885.434393,2371.158331,1.0,1.0,1.0,634.702551,625.601029,643.804072,66.912816,65.995847,67.829785,103.796512,103.751504,103.84152,415.40119,405.998547,424.803833,48.592033,48.357032,48.827033,22.099088,21.488887,22.709289,3.482025,3.336499,3.62755,14.343333,14.126279,14.560387,34.757665,34.339149,35.17618,29461.587823,29107.79805,29815.377596
chang2019,200,5.0,3,0.385208,0.371253,0.399164,15.778133,15.206528,16.349739,2061.492504,2002.214262,2120.770747,4952.364558,4860.095786,5044.63333,0.614792,0.600836,0.628747,0.770662,0.712191,0.829133,0.671838,0.664177,0.679499,0.664395,0.658504,0.670286,1.0,1.0,1.0,12521.294907,11728.195326,13314.394487,20629.812889,18814.101321,22445.524457,5253.040629,5246.905603,5259.175655,3648.352569,2970.916805,4325.788333,3600.062698,3404.878324,3795.247071,1.0,1.0,1.0,790.333627,780.725588,799.941665,68.183536,67.811897,68.555175,102.933458,102.903903,102.963013,574.601169,564.391186,584.811151,44.615464,44.361058,44.869869,42.227536,41.919357,42.535715,5.343077,5.273789,5.412365,25.863333,25.612018,26.114649,11.978988,11.421248,12.536729,85503.248558,81479.378777,89527.11834
etaroa,200,5.0,3,0.929028,0.915292,0.942764,38.052978,37.490353,38.615602,1461.255559,1440.037421,1482.473697,3625.320461,3539.242816,3711.398107,0.070972,0.057236,0.084708,0.996914,0.995416,0.998412,0.393792,0.381848,0.405736,0.393516,0.381745,0.405287,1.0,1.0,1.0,9986.031253,8722.884126,11249.178381,17850.519556,17034.858853,18666.180258,5252.123196,5248.14044,5256.105951,2192.721804,1506.472204,2878.971405,2531.916916,1942.020157,3121.813674,1.0,1.0,1.0,602.977087,578.117349,627.836824,70.93484,69.915727,71.953953,103.887401,103.828526,103.946276,378.656091,354.243852,403.06833,49.498755,48.885193,50.112317,26.978784,25.401519,28.556049,4.473938,4.385045,4.562832,17.073333,15.858016,18.28865,37.874495,35.759594,39.989395,27045.7178,25544.605582,28546.830017
no_raw,400,5.0,3,0.059271,0.055877,0.062665,4.855467,4.577435,5.133498,2519.675773,2387.790003,2651.561543,4787.259952,4752.407646,4822.112258,0.940729,0.937335,0.944123,0.985496,0.968668,1.002324,0.977907,0.974332,0.981481,0.86159,0.858873,0.864307,1.0,1.0,1.0,3489.86329,1053.914988,5925.811592,42515.511111,-118812.67612,203843.698343,1755.471697,1734.350568,1776.592825,484.480433,361.484985,607.475881,1249.91116,-1285.538518,3785.360838,0.150833,0.147248,0.154419,2511.759923,2511.712569,2511.807277,48.444676,48.393948,48.495404,101.411317,101.396023,101.42661,2361.90393,2361.896045,2361.911815,0.0,0.0,0.0,40.023208,39.902189,40.144227,1.593433,1.588619,1.598246,53.738333,52.448534,55.028132,0.579928,0.546726,0.61313,1766358.691479,1665728.701663,1866988.681295
static,400,5.0,3,0.323299,0.313498,0.333099,26.484622,25.681735,27.287509,3335.797611,3280.895496,3390.699726,8899.42115,8789.638592,9009.203709,0.676701,0.666901,0.686502,0.685323,0.679602,0.691044,0.505031,0.494308,0.515754,0.504305,0.493402,0.515209,1.0,1.0,1.0,17031.482043,14993.103211,19069.860876,32354.032444,30964.051658,33744.013231,10251.333909,10249.465108,10253.20271,3112.666922,2143.939231,4081.394613,3661.44621,2599.24198,4723.65044,1.0,1.0,1.0,640.12207,603.550327,676.693814,35.597836,35.369628,35.826044,102.797066,102.704899,102.889234,454.005189,416.478238,491.53214,47.721979,46.783375,48.660583,15.283528,15.042537,15.524519,2.388333,2.263684,2.512983,10.698333,10.237041,11.159625,12.417618,11.493963,13.341272,82513.657652,76268.752391,88758.562913
adaptive,400,5.0,3,0.379861,0.368339,0.391383,31.118222,30.17434,32.062104,2937.302646,2739.234118,3135.371173,7274.750372,6709.733458,7839.767285,0.620139,0.608617,0.631661,0.77225,0.744937,0.799562,0.511862,0.505043,0.518682,0.51137,0.50503,0.51771,1.0,1.0,1.0,26002.707301,24832.858197,27172.556405,45819.818222,44363.212546,47276.423899,10251.756327,10251.410729,10252.101925,7338.299336,6584.468216,8092.130455,8401.240937,7976.43402,8826.047854,1.0,1.0,1.0,818.755684,796.710499,840.80087,40.979316,40.784738,41.173894,102.974104,102.924447,103.02376,631.534905,608.804435,654.265375,43.26736,42.69929,43.835429,16.81642,16.454211,17.178629,2.053935,2.038328,2.069542,11.619167,11.257157,11.981176,11.403917,10.750424,12.057411,89825.484538,84691.049444,94959.919631
cluster_csv,400,5.0,3,0.386181,0.385201,0.38716,31.635911,31.55565,31.716172,3045.690347,2935.394073,3155.986621,7687.363624,7095.119098,8279.60815,0.613819,0.61284,0.614799,0.755514,0.736639,0.77439,0.501882,0.500313,0.503452,0.501644,0.499881,0.503407,1.0,1.0,1.0,23368.336954,23132.568036,23604.105872,40637.857778,39179.804928,42095.910628,10251.401648,10249.283932,10253.519364,6102.626391,5948.551033,6256.701749,7010.133724,6822.782731,7197.484718,1.0,1.0,1.0,773.368822,769.02986,777.707784,40.461592,40.231921,40.691263,102.937997,102.904522,102.971471,585.550536,581.059185,590.041886,44.418698,44.30643,44.530966,16.374872,16.008047,16.741697,2.117354,2.066868,2.16784,11.275,11.168869,11.381131,12.272049,12.17244,12.371657,83442.244514,82763.692903,84120.796125
