condition,policy,num_stas,seed,pdr,tput_kbps,avg_delay_ms,p95_delay_ms,drop_rate,fairness,col_rate,retry_rate,assoc_mean_ms,assoc_frac,e_total_mj,ee_kbit_j,elapsed_s
random,cluster_csv,1000,99,0.09391666666666666,19.234133333333336,5354.487596316744,16781.654892565195,0.9060833333333334,0.5777460277171661,0.5049708604730888,0.50439949720032,64804.52543066002,1.0,1469.6019534058655,1.5705586091872623,31.97
random,cluster_adaptive,100,42,0.9875,20.224,642.8267502767649,1674.7479812427216,0.012499999999999956,0.9996262680192205,0.2529192546583851,0.25267080745341614,3820.3510133336836,1.0,408.2970720999676,59.439074287699086,2.35
random,cluster_adaptive,100,7,0.9833333333333333,20.13866666666667,654.6480382597066,1840.5255020127163,0.01666666666666672,0.9995692749461593,0.25864152767706067,0.25815808556925307,4528.693160000226,1.0,422.24889435330226,57.23259509539318,4.38
random,cluster_adaptive,100,99,0.9875,20.224,651.3265793089934,1688.5139844435055,0.012499999999999956,0.9996262680192205,0.25359801488833744,0.25359801488833744,4003.024626666856,1.0,410.7393978733011,59.085639521451725,2.54
random,cluster_adaptive,200,42,0.9166666666666666,37.54666666666667,1446.0616605796056,3761.0098948900427,0.08333333333333337,0.9978352747139471,0.38349566520389594,0.3833886332013272,9164.889333333611,1.0,579.0154228733034,38.907426486512506,6.96
random,cluster_adaptive,200,7,0.923125,37.8112,1454.3334367335642,3691.1019178782567,0.07687500000000003,0.9981475023131438,0.38663157894736844,0.38652631578947366,9168.650140000174,1.0,581.1077183499683,39.040472675905974,7.35
random,cluster_adaptive,200,99,0.916875,37.5552,1499.7822105542677,3954.8229895852246,0.083125,0.9977849040274472,0.39241567148543893,0.39231091556672953,9261.104173333564,1.0,584.368180876636,38.559799690320396,7.48
random,cluster_adaptive,300,42,0.6031944444444445,37.06026666666667,2454.437287904124,5911.244059259005,0.3968055555555555,0.9068405667498426,0.471435709526982,0.47110259826782147,14978.881560000256,1.0,653.8976016710783,22.67037932052769,12.28
random,cluster_adaptive,300,7,0.6154166666666666,37.8112,2319.4205232560275,5365.746273110241,0.3845833333333334,0.8848460716844909,0.46444704701355194,0.464363393006525,14934.077635555794,1.0,653.0295801533019,23.16048225020596,12.11
random,cluster_adaptive,300,99,0.5965277777777778,36.650666666666666,2405.8999266268283,5926.6856840198825,0.40347222222222223,0.8972070231755064,0.4757540409931678,0.4755040826528912,14813.767573333653,1.0,650.5717854110814,22.53443354817975,12.63
random,cluster_adaptive,400,42,0.395625,32.4096,2895.596722248489,7217.011212736617,0.604375,0.7870364469663902,0.5037042753511345,0.5025466893039049,20893.649956666777,1.0,723.8196723233009,13.432737975733247,16.16
random,cluster_adaptive,400,7,0.39416666666666667,32.29013333333334,3006.040098662131,7569.7428233357505,0.6058333333333333,0.8146338355104455,0.5061956438082044,0.5054259986146387,21228.374496666736,1.0,729.704774244969,13.275286584253545,16.43
random,cluster_adaptive,400,99,0.394375,32.3072,2967.5152712006366,7324.378962188911,0.6056250000000001,0.8016664429530201,0.5075891825256184,0.5070498497573003,21004.349366666713,1.0,724.9928857682986,13.36862773450377,16.31
random,cluster_adaptive,500,42,0.2815,28.825599999999998,3281.6367143443913,8421.428834009705,0.7185,0.6929546365458189,0.516619676509868,0.5161745066033536,26452.889279998617,1.0,800.7995519972819,8.639045792102893,19.4
random,cluster_adaptive,500,7,0.2788333333333333,28.552533333333333,3309.4665637682133,8438.342315536482,0.7211666666666667,0.694781928757602,0.5175625137493584,0.5173425240155459,27500.641263998015,1.0,819.7539460026062,8.359347379071005,19.39
random,cluster_adaptive,500,99,0.27241666666666664,27.895466666666668,3380.4561809929583,8707.860885406039,0.7275833333333334,0.7207608673658652,0.5232600867200705,0.5225986624531491,27566.913831995684,1.0,820.6470414518982,8.15808948528625,19.94
random,cluster_adaptive,600,42,0.21444444444444444,26.350933333333334,3664.929378722801,9597.046209561058,0.7855555555555556,0.7073574268589401,0.5249176276771005,0.5240939044481054,33074.30631555032,1.0,906.8712817432122,5.811394376207584,22.76
random,cluster_adaptive,600,7,0.2182638888888889,26.820266666666665,3569.121517578388,9020.264992032095,0.7817361111111111,0.7016442218907593,0.5215481745813889,0.5207933022234422,32549.933706663232,1.0,897.4584513421495,5.976937790614584,22.9
random,cluster_adaptive,600,99,0.21583333333333332,26.5216,3624.373674579137,9414.075311887143,0.7841666666666667,0.709539003966505,0.524800220446404,0.5241802149352439,32569.847582218594,1.0,897.5079448210204,5.910053532793829,23.66
random,cluster_adaptive,800,42,0.13442708333333334,22.024533333333334,4594.182968422551,13211.508854691772,0.8655729166666667,0.693970435036253,0.5233013387218994,0.5230487496842637,44099.92533999678,1.0,1091.760614154923,3.026011340917636,28.82
random,cluster_adaptive,800,7,0.13192708333333333,21.614933333333333,4589.787856120163,13043.310502320643,0.8680729166666666,0.7200028054582996,0.5256628251149317,0.5250330625354241,44098.08980666352,1.0,1091.580109801594,2.9702263451734296,30.45
random,cluster_adaptive,800,99,0.13276041666666666,21.751466666666666,4578.410351591195,13631.643377826495,0.8672395833333333,0.7045849960961221,0.5241985780217039,0.523699638268679,45207.04489332962,1.0,1112.3899986274241,2.9330720377078756,31.3
random,cluster_adaptive,1000,42,0.09075,18.5856,5294.347931444274,16165.654969294386,0.90925,0.704677205441944,0.5162317357439309,0.5153789300130763,58138.28006799307,1.0,1343.0399210232029,1.6606148224550572,35.81
random,cluster_adaptive,1000,7,0.093625,19.174400000000002,5319.424429565269,16598.95875812989,0.906375,0.699537383410644,0.5109406081273089,0.5099175902244956,58441.85628532962,1.0,1348.5556493485803,1.706216574089073,35.79
random,cluster_adaptive,1000,99,0.09258333333333334,18.961066666666667,5199.252918610051,16553.050137145492,0.9074166666666666,0.7096351905915577,0.5128380691543992,0.5123816044733539,57940.44460132901,1.0,1339.2410014125744,1.698968294429517,35.92
demand,cluster_csv,100,42,0.9833333333333333,20.13866666666667,689.905869160166,1815.6215561634033,0.01666666666666672,0.9995692749461593,0.26080656846172423,0.26032359333494326,4537.959386666991,1.0,460.21835875330385,52.51072570304436,2.61
demand,cluster_csv,100,7,0.9870833333333333,20.215466666666668,695.7846694139165,1623.6345636792983,0.012916666666666687,0.9996190086030315,0.2490733876945886,0.2490733876945886,4240.496960000314,1.0,451.23754016663844,53.76006613067146,2.57
demand,cluster_csv,100,99,0.9833333333333333,20.13866666666667,686.2963568338125,1687.6635579757713,0.01666666666666672,0.9995692749461593,0.26652194886637726,0.2662807525325615,4316.738293333497,1.0,454.9842960466358,53.11480024691434,4.93
demand,cluster_csv,200,42,0.91875,37.632,1438.1371904593525,3618.2391799087313,0.08125000000000004,0.9937710781808892,0.3818104275509116,0.38170380637594625,10378.857966666861,1.0,609.6740119466377,37.034873649782966,7.38
demand,cluster_csv,200,7,0.9135416666666667,37.41866666666667,1459.617789074277,3677.5274526095764,0.0864583333333333,0.9930600745767614,0.3871309133241613,0.3870250820192613,10368.6123400002,1.0,613.0079596699693,36.624646786131876,7.45
demand,cluster_csv,200,99,0.91875,37.632,1469.2914431794738,3706.835686845726,0.08125000000000004,0.9940961786174324,0.38456625864821714,0.3843533794571581,9720.042494977044,1.0,602.816555538879,37.456171023398085,7.68
demand,cluster_csv,300,42,0.5329166666666667,32.7424,2627.3200448888447,6477.779518688269,0.4670833333333333,0.8656922859814074,0.4872042916190309,0.4863248614897546,17217.720204444755,1.0,700.6940668888603,18.691409873286908,12.68
demand,cluster_csv,300,7,0.5329166666666667,32.7424,2702.1848430030036,6792.416289382634,0.4670833333333333,0.8754523074727509,0.48747011423005404,0.4871159125121757,16654.64321333366,1.0,691.1746649221936,18.94884269445024,12.53
demand,cluster_csv,300,99,0.5326388888888889,32.72533333333333,2662.143438330966,6488.25245390957,0.4673611111111111,0.8513638284447378,0.4881709039548023,0.4877295197740113,16801.85621777804,1.0,693.6671911621929,18.870913170048727,12.4
demand,cluster_csv,400,42,0.3859375,31.616,3143.724292626223,7741.1553253868,0.6140625,0.7626972441382376,0.5012987012987012,0.5001967729240456,24424.371796665764,1.0,792.4268858716247,11.969306151907325,16.5
demand,cluster_csv,400,7,0.380625,31.180799999999998,3095.0354113125923,7603.035557493682,0.619375,0.7505349192786797,0.5041464559536849,0.5030511657017681,24993.726803331712,1.0,803.7902744499463,11.637662581077308,16.81
demand,cluster_csv,400,99,0.3790625,31.052799999999998,3175.0675181993647,7879.1198747572225,0.6209374999999999,0.7703144123600996,0.508833922261484,0.5079701609736945,24421.82899999846,1.0,793.144001218286,11.74545856198959,16.29
demand,cluster_csv,500,42,0.2668333333333333,27.323733333333333,3552.133561822993,9837.249140523172,0.7331666666666667,0.652276235009702,0.5094107705308443,0.5086425443650611,30806.585586663325,1.0,882.1371992159194,7.433873104805869,19.07
demand,cluster_csv,500,7,0.2645,27.084799999999998,3502.384286808606,9173.657992421808,0.7355,0.6691647957489206,0.5099601593625498,0.5094238430891818,30817.80027199328,1.0,882.16879437585,7.368603425378602,19.29
demand,cluster_csv,500,99,0.26508333333333334,27.14453333333333,3545.1213324569826,9253.571474498764,0.7349166666666667,0.6467935057048803,0.5073017814817646,0.506766572367918,30950.02694132884,1.0,884.7977169145589,7.362912308044637,20.24
demand,cluster_csv,600,42,0.19930555555555557,24.49066666666667,4039.1872391887464,10882.800411410752,0.8006944444444444,0.6657049106132609,0.5215417867435158,0.520821325648415,36814.686995551856,1.0,977.8571767476944,5.009047793282336,23.33
demand,cluster_csv,600,7,0.19284722222222223,23.697066666666665,4039.4461875955017,10521.344933119344,0.8071527777777778,0.6727496292419087,0.5224627970942943,0.5215459482333028,38167.19840415111,1.0,1002.8348077476903,4.7260159865988145,22.77
demand,cluster_csv,600,99,0.19375,23.808,4027.778781535603,10294.176102331037,0.80625,0.6475094829307247,0.5257167247634631,0.5248630575513978,37993.40868666375,1.0,999.9956328265982,4.761620794823685,22.5
demand,cluster_csv,800,42,0.13255208333333332,21.717333333333332,4769.637431421132,13765.838306244319,0.8674479166666667,0.5933515023818249,0.5168616226978596,0.5158038825286212,53206.648254994725,1.0,1264.4318652665584,2.5763349449543145,27.39
demand,cluster_csv,800,7,0.13145833333333334,21.538133333333334,4818.290895669353,13404.83080736842,0.8685416666666667,0.5966746590738798,0.5200275810192441,0.5187112141916881,51557.89163666216,1.0,1233.5092056249064,2.619129217088647,28.12
demand,cluster_csv,800,99,0.13302083333333334,21.794133333333335,4650.852582312714,13155.409000724241,0.8669791666666666,0.5927860740825829,0.5184792108877513,0.5174179048570359,52143.86232666015,1.0,1244.328555464026,2.6272160882628808,27.52
