policy,n,pdr_mean,pdr_ci_lo,pdr_ci_hi,tput_kbps_mean,tput_kbps_ci_lo,tput_kbps_ci_hi,avg_delay_ms_mean,avg_delay_ms_ci_lo,avg_delay_ms_ci_hi,p95_delay_ms_mean,p95_delay_ms_ci_lo,p95_delay_ms_ci_hi,drop_rate_mean,drop_rate_ci_lo,drop_rate_ci_hi,fairness_mean,fairness_ci_lo,fairness_ci_hi,col_rate_mean,col_rate_ci_lo,col_rate_ci_hi,retry_rate_mean,retry_rate_ci_lo,retry_rate_ci_hi,raw_fit_pass_mean,raw_fit_pass_ci_lo,raw_fit_pass_ci_hi,e_total_mj_mean,e_total_mj_ci_lo,e_total_mj_ci_hi,e_sleep_mj_mean,e_sleep_mj_ci_lo,e_sleep_mj_ci_hi,e_idle_mj_mean,e_idle_mj_ci_lo,e_idle_mj_ci_hi,ee_kbit_j_mean,ee_kbit_j_ci_lo,ee_kbit_j_ci_hi,e_per_pkt_uj_mean,e_per_pkt_uj_ci_lo,e_per_pkt_uj_ci_hi
tab_ddqn,600,0.238681,0.150793,0.326568,29.329067,18.529434,40.128699,5642.044499,4116.684684,7167.404315,15656.22265,8360.897629,22951.54767,0.761319,0.673432,0.849207,0.718643,0.661953,0.775332,0.448242,0.413712,0.482771,0.448209,0.413555,0.482864,1.0,1.0,1.0,466.582166,455.286055,477.878276,51.883915,51.726305,52.041524,289.140156,283.469933,294.810379,12.561308,8.190058,16.932559,82688.778799,51583.837096,113793.720502
tab_ddqn,800,0.179583,0.137594,0.221573,29.422933,22.543415,36.302452,7548.818728,5623.656854,9473.980602,21287.099344,12609.769786,29964.428901,0.820417,0.778427,0.862406,0.702888,0.672259,0.733517,0.421325,0.403164,0.439486,0.421325,0.403164,0.439486,1.0,1.0,1.0,482.040097,465.049011,499.031182,51.351245,50.956218,51.746273,311.136509,295.532851,326.740168,9.15043,7.241491,11.059369,112452.867249,88225.417184,136680.317314
tab_ddqn,1000,0.129653,0.090657,0.168648,26.552889,18.566645,34.539133,9853.85719,1384.680707,18323.033674,29691.384237,-3851.168511,63233.936985,0.870347,0.831352,0.909343,0.669835,0.62283,0.71684,0.434715,0.392272,0.477158,0.434715,0.392272,0.477158,1.0,1.0,1.0,552.731612,450.286539,655.176685,49.458466,46.927805,51.989127,387.259772,286.516892,488.002653,5.751098,5.02781,6.474387,178366.549374,155280.485523,201452.613224
dqn,100,0.951667,0.777477,1.125857,19.490133,15.922723,23.057544,1335.749727,-176.650563,2848.150017,3827.194518,-3167.737486,10822.126523,0.048333,-0.125857,0.222523,0.997811,0.989291,1.00633,0.206567,0.035507,0.377626,0.206567,0.035507,0.377626,1.0,1.0,1.0,405.998478,308.940677,503.05628,54.174667,51.850345,56.498989,193.615472,101.404864,285.82608,58.090492,36.72895,79.452033,17873.004571,11686.544748,24059.464393
dqn,200,0.706458,0.311558,1.101358,28.936533,12.761423,45.111644,2736.943612,1653.338374,3820.548851,8013.659781,3267.298456,12760.021106,0.293542,-0.101358,0.688442,0.969453,0.895567,1.04334,0.366619,0.199593,0.533646,0.366619,0.199593,0.533646,1.0,1.0,1.0,427.228819,277.129926,577.327712,53.56917,50.248473,56.889866,218.237404,88.129034,348.345774,40.414419,26.249373,54.579465,25677.033116,16678.601227,34675.465005
dqn,400,0.40434,0.301813,0.506868,33.123556,24.724484,41.522628,4039.878284,2864.899743,5214.856825,10324.927251,5145.901663,15503.952839,0.59566,0.493132,0.698187,0.803275,0.639346,0.967205,0.438631,0.284304,0.592959,0.438389,0.284393,0.592384,1.0,1.0,1.0,456.236293,412.32707,500.145517,52.442815,51.370744,53.514886,265.28434,222.599078,307.969602,21.858467,14.336216,29.380718,47487.198239,30227.608515,64746.787963
dqn,600,0.189097,0.069867,0.308327,23.236267,8.585274,37.887259,7594.506743,4961.257149,10227.756336,22889.734961,16309.433185,29470.036737,0.810903,0.691673,0.930133,0.763372,0.63069,0.896055,0.346424,0.176606,0.516243,0.346424,0.176606,0.516243,1.0,1.0,1.0,408.281335,394.221386,422.341283,53.204198,52.83034,53.578056,237.198665,222.088025,252.309304,11.368864,4.438717,18.299011,93355.726834,43454.386778,143257.06689
dqn,800,0.195712,0.161039,0.230385,32.065422,26.384605,37.746239,6360.287219,4528.368469,8192.205968,17395.043795,10917.306344,23872.781247,0.804288,0.769615,0.838961,0.711728,0.649683,0.773773,0.420273,0.322624,0.517923,0.420245,0.322713,0.517776,1.0,1.0,1.0,526.477861,437.452403,615.503319,50.245126,48.010112,52.48014,355.211069,266.030859,444.391279,9.19282,6.066017,12.319623,112842.358001,73238.35685,152446.359152
dqn,1000,0.156417,0.105897,0.206936,32.034133,21.687709,42.380558,7923.26652,6615.319585,9231.213454,23928.88188,19421.196582,28436.567177,0.843583,0.793064,0.894103,0.706944,0.62376,0.790129,0.356758,0.195378,0.518137,0.356758,0.195378,0.518137,1.0,1.0,1.0,564.554878,506.816345,622.29341,49.155272,47.615146,50.695399,399.373394,337.459059,461.287729,6.833502,4.124227,9.542778,152439.899513,91704.005127,213175.793899
ddqn,100,0.996667,0.982323,1.01101,20.411733,20.117982,20.705485,1196.015878,-74.150464,2466.182221,2846.083861,655.542749,5036.624974,0.003333,-0.01101,0.017677,0.999869,0.999304,1.000434,0.189852,-0.125184,0.504887,0.189852,-0.125184,0.504887,1.0,1.0,1.0,389.489377,220.761256,558.217498,54.651131,50.851151,58.45111,174.27778,24.840406,323.715153,64.286017,34.396563,94.175472,16272.398883,9429.381791,23115.415974
