condition,policy,num_stas,n_seeds,pdr_mean,pdr_ci_lo,pdr_ci_hi,tput_kbps_mean,tput_kbps_ci_lo,tput_kbps_ci_hi,avg_delay_ms_mean,avg_delay_ms_ci_lo,avg_delay_ms_ci_hi,p95_delay_ms_mean,p95_delay_ms_ci_lo,p95_delay_ms_ci_hi,drop_rate_mean,drop_rate_ci_lo,drop_rate_ci_hi,fairness_mean,fairness_ci_lo,fairness_ci_hi,col_rate_mean,col_rate_ci_lo,col_rate_ci_hi,retry_rate_mean,retry_rate_ci_lo,retry_rate_ci_hi,assoc_mean_ms_mean,assoc_mean_ms_ci_lo,assoc_mean_ms_ci_hi,assoc_frac_mean,assoc_frac_ci_lo,assoc_frac_ci_hi,e_total_mj_mean,e_total_mj_ci_lo,e_total_mj_ci_hi,ee_kbit_j_mean,ee_kbit_j_ci_lo,ee_kbit_j_ci_hi
random,cluster_csv,600,3,0.195301,0.186612,0.20399,23.998578,22.930919,25.066237,4035.470736,4018.91837,4052.023102,10566.107149,9828.621042,11303.593256,0.804699,0.79601,0.813388,0.661988,0.629632,0.694344,0.52324,0.517791,0.52869,0.52241,0.517056,0.527764,37658.431362,35830.324489,39486.538235,1.0,1.0,1.0,993.562539,959.588904,1027.536174,4.832228,4.449239,5.215218
random,cluster_csv,800,3,0.132344,0.130352,0.134336,21.6832,21.356835,22.009565,4746.260303,4532.278659,4960.241947,13442.026038,12679.558405,14204.493671,0.867656,0.865664,0.869648,0.594271,0.589051,0.59949,0.518456,0.514523,0.522389,0.517311,0.513692,0.52093,52302.800739,50226.414613,54379.186866,1.0,1.0,1.0,1247.423209,1208.439249,1286.407168,2.60756,2.539632,2.675488
random,cluster_csv,1000,3,0.09525,0.092315,0.098185,19.5072,18.906085,20.108315,5302.512715,5117.222054,5487.803376,16387.288803,15518.761275,17255.816331,0.90475,0.901815,0.907685,0.582012,0.544884,0.619139,0.502711,0.497847,0.507576,0.501951,0.496682,0.50722,65549.501018,63946.669385,67152.332652,1.0,1.0,1.0,1483.765002,1453.292689,1514.237315,1.577618,1.559406,1.59583
random,cluster_adaptive,100,3,0.986111,0.980135,0.992088,20.195556,20.073159,20.317952,649.600456,634.454071,664.74684,1734.595823,1506.04753,1963.144115,0.013889,0.007912,0.019865,0.999607,0.999526,0.999689,0.255053,0.247286,0.26282,0.254809,0.247512,0.262106,4117.356267,3203.737919,5030.974614,1.0,1.0,1.0,413.761788,395.251473,432.272103,58.58577,55.641499,61.530041
random,cluster_adaptive,200,3,0.918889,0.909771,0.928007,37.637689,37.264229,38.011149,1466.725769,1394.866451,1538.585088,3802.311601,3462.887225,4141.735977,0.081111,0.071993,0.090229,0.997923,0.997435,0.998411,0.387514,0.376273,0.398756,0.387409,0.376164,0.398653,9198.214549,9062.826902,9333.602196,1.0,1.0,1.0,581.497107,574.795506,588.198709,38.8359,38.21931,39.45249
random,cluster_adaptive,300,3,0.605046,0.581247,0.628845,37.174044,35.711829,38.636259,2393.252579,2223.345853,2563.159305,5734.558672,4940.826999,6528.290345,0.394954,0.371155,0.418753,0.896298,0.868907,0.923689,0.470546,0.45637,0.484721,0.470323,0.456384,0.484263,14908.908923,14696.781421,15121.036425,1.0,1.0,1.0,652.499656,648.21399,656.785322,22.788432,21.970347,23.606517
random,cluster_adaptive,400,3,0.394722,0.392763,0.396682,32.335644,32.175123,32.496166,2956.384031,2817.120016,3095.648046,7370.377666,6921.187554,7819.567778,0.605278,0.603318,0.607237,0.801112,0.766811,0.835414,0.50583,0.50094,0.510719,0.505008,0.499342,0.510673,21042.124607,20618.471322,21465.777891,1.0,1.0,1.0,726.172444,718.434169,733.910719,13.358884,13.162183,13.555586
random,cluster_adaptive,500,3,0.277583,0.265984,0.289182,28.424533,27.236783,29.612283,3323.853153,3197.260282,3450.446024,8522.544012,8123.281611,8921.806412,0.722417,0.710818,0.734016,0.702832,0.664193,0.741472,0.519147,0.510222,0.528073,0.518705,0.510204,0.527207,27173.481459,25620.943337,28726.01958,1.0,1.0,1.0,813.733513,785.883991,841.583035,8.385494,7.785422,8.985566
random,cluster_adaptive,600,3,0.216181,0.211378,0.220983,26.564267,25.974092,27.154441,3619.474857,3499.999487,3738.950227,9343.795504,8611.553594,10076.037415,0.783819,0.779017,0.788622,0.70618,0.696052,0.716309,0.523755,0.519004,0.528506,0.523022,0.518225,0.52782,32731.362535,31993.10446,33469.62061,1.0,1.0,1.0,900.612559,887.146778,914.078341,5.899462,5.69257,6.106354
random,cluster_adaptive,800,3,0.133038,0.129876,0.136201,21.796978,21.278849,22.315107,4587.460392,4567.238325,4607.682459,13295.487578,12542.674838,14048.300319,0.866962,0.863799,0.870124,0.706186,0.673667,0.738706,0.524388,0.521426,0.527349,0.523927,0.521414,0.52644,44468.353347,42879.056849,46057.649845,1.0,1.0,1.0,1098.576908,1068.857196,1128.296619,2.976437,2.86022,3.092654
random,cluster_adaptive,1000,3,0.092319,0.088703,0.095936,18.907022,18.166448,19.647597,5271.008427,5113.515347,5428.501506,16439.221288,15847.887219,17030.555357,0.907681,0.904064,0.911297,0.704617,0.692073,0.71716,0.513337,0.506677,0.519996,0.512559,0.505765,0.519354,58173.526985,57546.089292,58800.964677,1.0,1.0,1.0,1343.612191,1331.976497,1355.247884,1.6886,1.627721,1.749479
demand,cluster_csv,100,3,0.984583,0.979205,0.989962,20.164267,20.05411,20.274423,690.662298,678.764378,702.560219,1708.973226,1466.125795,1951.820657,0.015417,0.010038,0.020795,0.999586,0.999515,0.999657,0.258801,0.236701,0.2809,0.258559,0.23685,0.280268,4365.06488,3981.21599,4748.91377,1.0,1.0,1.0,455.480065,444.273492,466.686638,53.128531,51.576357,54.680704
demand,cluster_csv,200,3,0.917014,0.909543,0.924484,37.560889,37.254898,37.86688,1455.682141,1416.067745,1495.296537,3667.534106,3555.40165,3779.666563,0.082986,0.075516,0.090457,0.993642,0.992326,0.994959,0.384503,0.377892,0.391113,0.384361,0.377751,0.390971,10155.837601,9218.138061,11093.537141,1.0,1.0,1.0,608.499509,595.590324,621.408694,37.038564,36.00564,38.071488
demand,cluster_csv,300,3,0.532824,0.532426,0.533223,32.736711,32.712232,32.76119,2663.882775,2570.812772,2756.952778,6586.149421,6142.175617,7030.123224,0.467176,0.466777,0.467574,0.864169,0.834069,0.89427,0.487615,0.486375,0.488856,0.487057,0.485307,0.488806,16891.406545,16165.918659,17616.894431,1.0,1.0,1.0,695.178641,682.914937,707.442345,18.837055,18.509088,19.165023
demand,cluster_csv,400,3,0.381875,0.372922,0.390828,31.2832,30.54974,32.01666,3137.942407,3037.753721,3238.131094,7741.103586,7398.160159,8084.047013,0.618125,0.609172,0.627078,0.761182,0.736397,0.785967,0.50476,0.495307,0.514212,0.503739,0.493971,0.513508,24613.3092,23794.834632,25431.783768,1.0,1.0,1.0,796.453721,780.64401,812.263431,11.784142,11.363862,12.204423
demand,cluster_csv,500,3,0.265472,0.262455,0.268489,27.184356,26.875441,27.49327,3533.21306,3466.315465,3600.110656,9421.492869,8521.502138,10321.483601,0.734528,0.731511,0.737545,0.656078,0.62711,0.685046,0.508891,0.505404,0.512377,0.508278,0.504885,0.511671,30858.1376,30659.947496,31056.327704,1.0,1.0,1.0,883.03457,879.240957,886.828183,7.388463,7.290508,7.486418
demand,cluster_csv,600,3,0.195301,0.186612,0.20399,23.998578,22.930919,25.066237,4035.470736,4018.91837,4052.023102,10566.107149,9828.621042,11303.593256,0.804699,0.79601,0.813388,0.661988,0.629632,0.694344,0.52324,0.517791,0.52869,0.52241,0.517056,0.527764,37658.431362,35830.324489,39486.538235,1.0,1.0,1.0,993.562539,959.588904,1027.536174,4.832228,4.449239,5.215218
demand,cluster_csv,800,3,0.132344,0.130352,0.134336,21.6832,21.356835,22.009565,4746.260303,4532.278659,4960.241947,13442.026038,12679.558405,14204.493671,0.867656,0.865664,0.869648,0.594271,0.589051,0.59949,0.518456,0.514523,0.522389,0.517311,0.513692,0.52093,52302.800739,50226.414613,54379.186866,1.0,1.0,1.0,1247.423209,1208.439249,1286.407168,2.60756,2.539632,2.675488
demand,cluster_csv,1000,3,0.09525,0.092315,0.098185,19.5072,18.906085,20.108315,5302.512715,5117.222054,5487.803376,16387.288803,15518.761275,17255.816331,0.90475,0.901815,0.907685,0.582012,0.544884,0.619139,0.502711,0.497847,0.507576,0.501951,0.496682,0.50722,65549.501018,63946.669385,67152.332652,1.0,1.0,1.0,1483.765002,1453.292689,1514.237315,1.577618,1.559406,1.59583
demand,cluster_adaptive,100,3,0.983472,0.980867,0.986077,20.141511,20.08816,20.194862,615.724734,588.950042,642.499427,1576.877855,1533.363514,1620.392196,0.016528,0.013923,0.019133,0.999559,0.999486,0.999633,0.251029,0.245199,0.256859,0.250374,0.244441,0.256307,4315.094862,3778.098707,4852.091017,1.0,1.0,1.0,416.185192,402.335103,430.035281,58.082108,56.009224,60.154992
demand,cluster_adaptive,200,3,0.924861,0.922769,0.926953,37.882311,37.796634,37.967989,1436.203928,1416.984989,1455.422867,3599.292655,3574.839701,3623.745609,0.075139,0.073047,0.077231,0.998175,0.997804,0.998545,0.38268,0.379076,0.386283,0.382574,0.379111,0.386036,9205.32492,8976.395535,9434.254305,1.0,1.0,1.0,578.764339,574.727625,582.801052,39.272534,38.914549,39.630518
demand,cluster_adaptive,300,3,0.603611,0.594308,0.612915,37.085867,36.514261,37.657472,2245.702996,2111.770584,2379.635407,5614.742311,4960.451699,6269.032923,0.396389,0.387085,0.405692,0.883503,0.874893,0.892113,0.461235,0.455504,0.466965,0.460811,0.455495,0.466128,15121.313421,13902.343969,16340.282873,1.0,1.0,1.0,655.907328,634.083838,677.730817,22.618415,22.029699,23.207132
demand,cluster_adaptive,400,3,0.393611,0.38828,0.398942,32.244622,31.807922,32.681322,2933.717532,2767.484289,3099.950775,7415.011844,6676.323643,8153.700045,0.606389,0.601058,0.61172,0.79324,0.757194,0.829287,0.507994,0.503095,0.512892,0.507504,0.502824,0.512183,20555.985063,20043.050602,21068.919525,1.0,1.0,1.0,717.219715,708.156864,726.282566,13.487815,13.137176,13.838453
