mode,n,episode,seed,pdr,qtable_states,epsilon,episode_count,update_count
dqn,400,4,300,0.5082291666666666,0,0.05,5,241
dqn,400,5,400,0.5071875,0,0.05,6,241
dqn,600,1,0,0.30416666666666664,0,0.05,2,241
dqn,600,2,100,0.20465277777777777,0,0.05,3,241
dqn,600,3,200,0.2504166666666667,0,0.05,4,241
dqn,600,4,300,0.30777777777777776,0,0.05,5,241
dqn,600,5,400,0.318125,0,0.05,6,241
dqn,600,6,13,0.3348611111111111,0,0.05,7,241
dqn,600,7,77,0.3071527777777778,0,0.05,8,241
dqn,600,8,31,0.314375,0,0.05,9,241
dqn,600,9,55,0.32131944444444444,0,0.05,10,241
dqn,800,1,0,0.19229166666666667,0,0.05,2,241
dqn,800,2,100,0.20432291666666666,0,0.05,3,241
dqn,800,3,200,0.21427083333333333,0,0.05,4,241
dqn,800,4,300,0.230625,0,0.05,5,241
dqn,800,5,400,0.224375,0,0.05,6,241
dqn,800,6,13,0.22177083333333333,0,0.05,7,241
dqn,1000,1,0,0.15208333333333332,0,0.05,2,241
dqn,1000,2,100,0.16416666666666666,0,0.05,3,241
dqn,1000,3,200,0.17320833333333333,0,0.05,4,241
dqn,1000,4,300,0.178625,0,0.05,5,241
ddqn,100,1,0,0.8479166666666667,0,0.05,2,241
ddqn,100,2,100,0.9620833333333333,0,0.05,3,241
ddqn,100,3,200,0.9916666666666667,0,0.05,4,241
ddqn,100,4,300,0.9816666666666667,0,0.05,5,241
ddqn,100,5,400,0.9829166666666667,0,0.05,6,241
ddqn,100,6,13,1.0,0,0.05,7,241
ddqn,100,7,77,1.0,0,0.05,8,241
ddqn,100,8,31,1.0,0,0.05,9,241
ddqn,200,1,0,0.8966666666666666,0,0.05,2,241
ddqn,200,2,100,0.635,0,0.05,3,241
ddqn,200,3,200,0.9135416666666667,0,0.05,4,241
ddqn,200,4,300,0.9439583333333333,0,0.05,5,241
ddqn,200,5,400,0.95,0,0.05,6,241
ddqn,200,6,13,0.8133333333333334,0,0.05,7,241
ddqn,200,7,77,0.8875,0,0.05,8,241
ddqn,200,8,31,0.9566666666666667,0,0.05,9,241
ddqn,200,9,55,0.9416666666666667,0,0.05,10,241
ddqn,200,10,88,0.6735416666666667,0,0.05,11,241
ddqn,200,11,21,0.7491666666666666,0,0.05,12,241
ddqn,200,12,34,0.55625,0,0.05,13,241
